Time,Symbol,Action,Magic,Profit,Reason,Comment
2025-12-12 15:33:48,XAUUSD,SELL,1010,8.44,TAKE_PROFIT,[tp 4290.82]
2025-12-12 15:33:48,XAUUSD,SELL,1010,8.62,TAKE_PROFIT,[tp 4290.82]
2025-12-12 15:40:53,XAUUSD,BUY,1004,-7.0,STOP_LOSS,[sl 4294.00]
2025-12-12 15:40:53,XAUUSD,BUY,1004,-6.96,STOP_LOSS,[sl 4294.00]
2025-12-12 15:40:53,XAUUSD,BUY,1004,-6.9399999999999995,STOP_LOSS,[sl 4294.00]
2025-12-12 16:23:29,USDJPY,BUY,1010,-1.28,STOP_LOSS,[sl 155.818]
2025-12-12 17:20:11,XAUUSD,SELL,1006,0.22,TAKE_PROFIT,[tp 4316.50]
2025-12-12 17:24:46,XAUUSD,SELL,1006,2.19,TAKE_PROFIT,[tp 4318.50]
2025-12-12 18:04:50,XAUUSD,SELL,1006,6.19,TAKE_PROFIT,[tp 4322.50]
2025-12-12 18:15:30,EURUSD,SELL,1010,-1.49,STOP_LOSS,[sl 1.17244]
2025-12-12 18:15:30,EURUSD,SELL,1010,-1.3,STOP_LOSS,[sl 1.17244]
2025-12-12 18:15:51,EURUSD,SELL,1010,-1.1400000000000001,STOP_LOSS,[sl 1.17242]
